Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
665;2025-11-02;5;3;1;4;1;1;3;4;10;28;40;41;31;21;27;46;38;25;25;18;16;5;5;3;401;;7;665 - Bonduelle vers Nord;2025-11-02;Vacances de la Toussaint
669;2025-11-02;4;2;3;2;1;0;2;8;2;18;24;33;16;14;17;20;23;25;14;11;7;6;3;2;257;;7;669 - De Gaulle sortie Clémenceau vers Nord;2025-11-02;Vacances de la Toussaint
675;2025-11-02;5;0;0;0;0;0;0;0;0;0;0;25;27;5;19;17;7;37;0;0;0;0;0;0;142;;7;675 - Pont Haudaudine vers Nord;2025-11-02;Vacances de la Toussaint
679;2025-11-02;0;0;0;0;0;0;1;0;1;2;3;4;2;3;5;5;6;2;6;2;0;2;0;0;44;;7;679 - Bd Malakoff vers Gare Sud;2025-11-02;Vacances de la Toussaint
680;2025-11-02;10;15;15;9;10;5;1;3;12;29;35;37;33;29;38;58;39;43;41;29;21;19;7;3;541;;7;680 - Stalingrad vers ouest;2025-11-02;Vacances de la Toussaint
682;2025-11-02;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;7;682 - pont Anne de Bretagne vers Sud;2025-11-02;Vacances de la Toussaint
742;2025-11-02;16;16;4;8;8;4;5;5;10;16;31;47;37;32;55;44;48;49;50;22;22;14;12;8;563;;7;742 - Philippot vers Est;2025-11-02;Vacances de la Toussaint
743;2025-11-02;26;19;16;2;3;1;2;3;6;30;32;29;41;32;43;54;47;58;53;46;19;10;10;9;591;;7;743 - Philippot vers ouest;2025-11-02;Vacances de la Toussaint
746;2025-11-02;0;0;0;0;0;0;0;1;3;10;22;49;18;19;18;18;25;43;15;1;2;1;1;0;246;;7;746 - Chemin de halage Tortière vers Sud;2025-11-02;Vacances de la Toussaint
950;2025-11-02;5;1;2;1;0;1;4;1;5;20;21;18;16;11;22;33;32;27;20;11;6;7;6;1;271;;7;950 - avenue de la Libération vers Nord;2025-11-02;Vacances de la Toussaint
